,mname,mtime,SO2,N0,NO2,NOx,O3,CO,PM10,PM2.5,pressure,temperature,humidity,wind_E,wind_W,wind_N,wind_S,season,level,month,day
4059,东陵路,2016-10-30 00:00:00,25.0,21.0,47.0,79.0,8.0,1.1,86.0,70.0,1018.1,-1.1,63.0,0.0,0.5870684444423738,0.0,0.6821661392505579,3,2,10,30
4060,东陵路,2016-10-30 01:00:00,30.0,15.0,45.0,67.0,11.0,1.0,94.0,57.0,1017.3,-0.9,59.0,0.3449685894984321,0.0,0.9386142297341664,0.0,3,2,10,30
4061,东陵路,2016-10-30 02:00:00,28.0,6.0,30.0,38.0,24.0,0.9,67.0,33.0,1016.6,-0.5,55.0,0.8356896577978102,0.0,0.0,0.5492019627147913,3,1,10,30
4062,东陵路,2016-10-30 03:00:00,44.0,8.0,42.0,53.0,14.0,1.4,63.0,40.0,1016.0,-0.5,55.0,0.0,0.14154799756934242,0.0,0.78737803143351,3,1,10,30
4063,东陵路,2016-10-30 04:00:00,47.0,13.0,44.0,64.0,8.0,1.5,83.0,43.0,1015.4,-1.2,62.0,0.13199063909622807,0.0,0.3775956450900477,0.0,3,1,10,30
4064,东陵路,2016-10-30 05:00:00,45.0,12.0,46.0,64.0,7.0,1.3,75.0,36.0,1014.9,-0.6,61.0,0.5638972198086659,0.0,0.0,0.20498762277771088,3,1,10,30
4065,东陵路,2016-10-30 06:00:00,41.0,12.0,45.0,64.0,7.0,1.2,70.0,34.0,1014.5,-0.5,61.0,0.0,0.6734861939496758,0.0,0.1908306751001516,3,1,10,30
4066,东陵路,2016-10-30 07:00:00,47.0,19.0,48.0,77.0,8.0,1.3,66.0,36.0,1014.2,0.6,60.0,0.4999135961064509,0.0,0.009294967881400166,0.0,3,1,10,30
4067,东陵路,2016-10-30 08:00:00,40.0,17.0,44.0,71.0,11.0,1.2,74.0,34.0,1014.5,2.4,58.0,0.954280589342252,0.0,0.2989122894840631,0.0,3,1,10,30
4068,东陵路,2016-10-30 09:00:00,39.0,19.0,47.0,76.0,12.0,1.3,76.0,34.0,1014.4,3.6,59.0,0.0,0.4561373774196788,0.0,0.5309789948017694,3,1,10,30
4069,东陵路,2016-10-30 10:00:00,34.0,11.0,40.0,57.0,23.0,1.1,64.0,24.0,1013.7,4.5,67.0,1.0948878120881804,0.0,0.0,0.10592770619982997,3,1,10,30
4070,东陵路,2016-10-30 11:00:00,22.0,12.0,38.0,57.0,23.0,0.9,50.0,20.0,1013.3,4.2,84.0,0.0,1.1222454937489117,0.0,0.4249294668062702,3,1,10,30
4071,东陵路,2016-10-30 12:00:00,23.0,11.0,44.0,61.0,17.0,1.0,37.0,27.0,1012.8,4.0,90.0,0.4956437530376421,0.0,0.0,1.2018058370946452,3,1,10,30
4072,东陵路,2016-10-30 13:00:00,21.0,7.0,41.0,52.0,27.0,0.8,43.0,36.0,1012.0,5.6,97.0,0.7103391027710767,0.0,1.7622197249702949,0.0,3,1,10,30
4073,东陵路,2016-10-30 14:00:00,23.0,6.0,36.0,46.0,37.0,0.7,28.0,38.0,1011.5,6.1,99.0,0.5983509091284948,0.0,0.0,1.2656919805170228,3,1,10,30
4074,东陵路,2016-10-30 15:00:00,22.0,9.0,44.0,58.0,18.0,0.9,40.0,49.0,1012.5,5.0,96.0,0.7491568901854061,0.0,0.2806491651292257,0.0,3,1,10,30
4075,东陵路,2016-10-30 16:00:00,20.0,7.0,38.0,49.0,16.0,1.0,72.0,73.0,1014.0,2.7,95.0,0.0,1.3191112769361213,0.4689834102182671,0.0,3,2,10,30
4076,东陵路,2016-10-30 17:00:00,17.0,5.0,23.0,32.0,32.0,0.6,60.0,44.0,1015.3,1.0,96.0,1.0945045818058283,0.0,0.10981675831151096,0.0,3,1,10,30
4077,东陵路,2016-10-30 18:00:00,16.0,5.0,21.0,29.0,32.0,0.5,40.0,39.0,1016.9,0.5,97.0,0.797233677618574,0.0,0.0,0.06647152225399712,3,1,10,30
4078,东陵路,2016-10-30 19:00:00,15.0,5.0,20.0,28.0,33.0,0.5,37.0,43.0,1018.5,0.3,96.0,0.0,0.5889705261638306,0.0,0.11451514882451362,3,1,10,30
4079,东陵路,2016-10-30 20:00:00,18.0,5.0,23.0,31.0,29.0,0.6,50.0,62.0,1019.9,0.2,94.0,0.1629084249294082,0.0,0.3653229326048659,0.0,3,2,10,30
4080,东陵路,2016-10-30 21:00:00,21.0,5.0,30.0,38.0,21.0,0.7,64.0,70.0,1020.8,0.0,92.0,0.15319706256604926,0.0,0.0,0.1285716143677678,3,2,10,30
