,site,most_importance_feature,season
0,东陵路,CO_lag1,1
1,东陵路,N0_lag1,1
2,东陵路,NO2_lag1,1
3,东陵路,O3_lag1,1
4,东陵路,PM10_lag1,3
5,东陵路,SO2_lag1,6
6,东陵路,pressure_lag1,2
7,东陵路,temperature_lag1,1
8,东陵路,wind_N_lag1,2
9,东陵路,wind_W_lag1,1
10,京沈街,N0_lag1,1
11,京沈街,NO2_lag1,3
12,京沈街,PM10_lag1,2
13,京沈街,SO2_lag1,6
14,京沈街,humidity_lag1,1
15,京沈街,pressure_lag1,6
16,太原街,N0_lag1,2
17,太原街,NO2_lag1,7
18,太原街,O3_lag1,2
19,太原街,PM10_lag1,2
20,太原街,SO2_lag1,3
21,太原街,humidity_lag1,1
22,太原街,pressure_lag1,1
23,太原街,temperature_lag1,1
24,小河沿,NO2_lag1,4
25,小河沿,O3_lag1,2
26,小河沿,PM10_lag1,2
27,小河沿,SO2_lag1,5
28,小河沿,humidity_lag1,1
29,小河沿,pressure_lag1,3
30,小河沿,temperature_lag1,3
31,小河沿,wind_E_lag1,1
32,文化路,NO2_lag1,1
33,文化路,O3_lag1,2
34,文化路,PM10_lag1,1
35,文化路,SO2_lag1,7
36,文化路,humidity_lag1,1
37,文化路,pressure_lag1,7
38,文化路,temperature_lag1,1
39,新秀街,N0_lag1,1
40,新秀街,NO2_lag1,4
41,新秀街,O3_lag1,1
42,新秀街,PM10_lag1,1
43,新秀街,SO2_lag1,7
44,新秀街,pressure_lag1,6
45,新秀街,temperature_lag1,1
46,森林路,N0_lag1,1
47,森林路,NO2_lag1,2
48,森林路,O3_lag1,2
49,森林路,SO2_lag1,5
50,森林路,pressure_lag1,4
51,森林路,temperature_lag1,3
52,森林路,wind_W_lag1,1
53,沈辽西路,N0_lag1,1
54,沈辽西路,NO2_lag1,2
55,沈辽西路,O3_lag1,4
56,沈辽西路,PM10_lag1,2
57,沈辽西路,SO2_lag1,3
58,沈辽西路,humidity_lag1,1
59,沈辽西路,pressure_lag1,1
60,沈辽西路,temperature_lag1,6
61,浑南东路,NO2_lag1,4
62,浑南东路,O3_lag1,1
63,浑南东路,PM10_lag1,2
64,浑南东路,SO2_lag1,7
65,浑南东路,humidity_lag1,1
66,浑南东路,pressure_lag1,4
67,浑南东路,temperature_lag1,1
68,裕农路,N0_lag1,1
69,裕农路,NO2_lag1,1
70,裕农路,NOx_lag1,1
71,裕农路,O3_lag1,1
72,裕农路,PM10_lag1,2
73,裕农路,SO2_lag1,7
74,裕农路,humidity_lag1,1
75,裕农路,pressure_lag1,2
76,裕农路,temperature_lag1,1
77,裕农路,wind_S_lag1,1
78,陵东街,NO2_lag1,3
79,陵东街,NOx_lag1,1
80,陵东街,O3_lag1,3
81,陵东街,SO2_lag1,8
82,陵东街,humidity_lag1,1
83,陵东街,pressure_lag1,2
84,陵东街,temperature_lag1,2
85,陵东街,wind_W_lag1,1
