,site,season,level,algorithm,loss
0,东陵路,1,1,xgb,4.885740232848528
1,东陵路,1,2,xgb,12.271190718846395
2,东陵路,1,3,xgb,16.91455544566779
3,东陵路,1,4,xgb,9.246044574091021
4,东陵路,1,5,xgb,28.336776513173085
5,东陵路,2,1,xgb,3.6734071803137995
6,东陵路,2,2,xgb,10.67789466550206
7,东陵路,3,1,xgb,6.5108816341210085
8,东陵路,3,2,xgb,11.211395322711597
9,东陵路,3,3,xgb,13.840022023755344
10,东陵路,3,4,xgb,25.78903658460643
11,东陵路,3,5,xgb,46.9298596658858
12,东陵路,3,6,xgb,251.97047965312342
13,东陵路,4,1,xgb,7.346053862869507
14,东陵路,4,2,xgb,10.81252698759998
15,东陵路,4,3,xgb,11.069938089531203
16,东陵路,4,4,xgb,17.89873751815211
17,东陵路,4,5,xgb,18.54989819335391
18,东陵路,4,6,xgb,14.048315264105227
19,京沈街,1,1,xgb,7.655634125199416
20,京沈街,1,2,xgb,10.934756443099701
21,京沈街,1,3,xgb,14.292985682242096
22,京沈街,1,4,xgb,18.012689468190366
23,京沈街,1,5,xgb,27.28466076565072
24,京沈街,1,6,xgb,75.93667832648394
25,京沈街,2,1,xgb,5.548678919739133
26,京沈街,2,2,xgb,10.244789332808505
27,京沈街,2,3,xgb,8.629192325958211
28,京沈街,3,1,xgb,6.672616726010869
29,京沈街,3,2,xgb,12.227635573811547
30,京沈街,3,3,xgb,13.153989987922813
31,京沈街,3,4,xgb,15.809214054117856
32,京沈街,3,5,xgb,15.182428264264052
33,京沈街,3,6,xgb,350.4945068359375
34,京沈街,4,1,xgb,7.53323986218218
35,京沈街,4,2,xgb,12.08981970792524
36,京沈街,4,3,xgb,12.167220952258415
37,京沈街,4,4,xgb,13.51928890200792
38,京沈街,4,5,xgb,16.028577753921464
39,京沈街,4,6,xgb,63.254486083984375
40,太原街,1,1,xgb,6.0096623684211075
41,太原街,1,2,xgb,12.045103029539236
42,太原街,1,3,xgb,12.895500241666884
43,太原街,1,4,xgb,15.093304616783612
44,太原街,1,5,xgb,38.88520209923391
45,太原街,2,1,xgb,4.130234394256833
46,太原街,2,2,xgb,8.080711996830999
47,太原街,2,3,xgb,11.770721159931698
48,太原街,3,1,xgb,5.988065224356185
49,太原街,3,2,xgb,11.195570186239982
50,太原街,3,3,xgb,13.745726160214193
51,太原街,3,4,xgb,15.520291586197123
52,太原街,3,5,xgb,12.126968046354182
53,太原街,3,6,xgb,69.58558386043437
54,太原街,4,1,xgb,5.950963700169889
55,太原街,4,2,xgb,12.299765303075603
56,太原街,4,3,xgb,15.211468688664347
57,太原街,4,4,xgb,15.420037794657958
58,太原街,4,5,xgb,24.1099359333702
59,太原街,4,6,xgb,19.624176025390625
60,小河沿,1,1,xgb,5.167623876068656
61,小河沿,1,2,xgb,11.895546414703139
62,小河沿,1,3,xgb,18.332343272551437
63,小河沿,1,4,xgb,17.09616182177299
