label	text_a
0	玫瑰花瓣提取物洗发水可以治疗头皮脂溢性皮炎
0	吃完小龙虾浑身酸痛是因为洗虾粉导致的肌肉溶解
1	百日咳青少年和成人患者往往仅有持续的干咳症状，若发生剧烈咳嗽亦可造成骨折、腹部疝、血管爆裂
0	感冒之后不能吃鸡，可以喝鸡汤
0	红烧肉中含添加剂致人上瘾
1	日常：气胸患者应多卧床休息，必要时应用药物来缓解症状，并加强营养，增强身体抵抗力
1	但请注意，家人没有冠心病并不意味着自己不会有，生活方式仍然很重要
0	五行蔬菜汤能预防慢性病，提高免疫力
1	猩红热临床医生根据患儿的病史、体征，以及咽拭子的检测和培养，就能得出确诊结果
1	如何预防麻疹？接种疫苗是预防麻疹的最佳途径，儿童接种疫苗最为重要
1	婴儿奶粉里可能会含有消毒剂成分
1	癌症患者容易营养不良
1	治疗幽门螺杆菌能降低患胃癌的风险
1	百日咳尤其要注意患儿是否出现脱水迹象，如嘴唇干燥，无泪无尿
1	脑膜炎B型流感嗜血杆菌疫苗
0	带鱼不能煎炸，会流失营养
0	睡觉时腿抽搐、骨头发疼、腿部经常酸痛是长高的信号
0	煎鸡蛋蘸白糖，孩子食用会中毒
1	急性喉炎通常成人患者以居家治疗为主，如不发声或尽量少发声、保证充足睡眠、健康饮食等
0	痘痘的治疗都一样
0	每天喝牛奶不能超过600克
1	眼睛瞳距小的人不适合佩戴大框眼镜
1	生了“米虫”的大米，最好就不要吃了
1	癌症患者按摩可能导致肿瘤细胞扩散
1	多饮水：胰腺炎会导致脱水，因此记得每天多喝水
1	运输中密封的罐头食品也可能变质
0	脂肪瘤不开刀就能治好
1	败血症治疗的方法复杂，包括药物治疗和手术治疗
0	重楼可以抑制新型冠状病毒
1	肾病综合征因此有水肿症状时应该低盐饮食，每天盐的摄入量不超过3g
1	肺癌值得提醒的是，除非得到医生的同意，否则切勿随意使用护肤霜
0	用枕头能预防宝宝头颅变形
1	盆腔炎患者应注意：充分休息：在感觉症状好转（通常需要几天）之前，尽可能多休息，然后逐渐恢复日常活动水平
1	限酒：酒精可能与药物发生相互作用，影响疗效；过度酗酒还容易引发肝脏、消化系统障碍，诱发贫血
1	肾病综合征就医：当出现上述症状时，应及时前往医院就诊
