标题,name,action,main-meta,详情标题,short,comment-time,votes,score
再会,木卫二,32,2020-06-04 21:41:45,大轮回,从武侠片逐渐演变为琼瑶剧的三世情缘，最终以因果报应收场。胡金铨第一世最好看，还是《龙门客栈》《怒》式的明朝那些事儿；李行第二世的戏曲、古剑与三角恋结合的最好；白景瑞第三世成了城市与渔村的文化冲突，奇观性喧宾夺主了。每一世的戏舞元素在逐步放大———三岔口、  宋江杀惜、活捉三郎。,2015-11-01,8.0,3
再会,木卫二,32,2020-06-04 21:41:45,大轮回,没想到这么惊艳。胡金铨的武侠部分自然没什么说的，这个长度正好也不显得拖沓；李行拍民国梨园行也很是精到；意外之喜是白景瑞那段，依我看正好是健康写实主义和台湾新电影中间的连接点！这个段落视听形式上非常厉害，对比手法用得淋漓尽致。全片不起然表达了一个台湾接续“中国正统”的意思。,2015-11-02,16.0,2
再会,木卫二,32,2020-06-04 21:41:45,大轮回,【中国电影资料馆李行回顾展】两男一女的三角恋爱，由三大台湾导演拍出三个短片，三个演员贯穿始终。时间跨越明朝-民国-现代，演出一段三生三世的故事。三个导演把一个命题作文拍出三种风格。胡金铨依旧明朝锦衣卫武侠，四星半；李行依旧琼瑶，四星；白景瑞的则是猎奇拜神民俗展，三星半,2015-10-24,4.0,4
再会,木卫二,32,2020-06-04 21:41:45,大轮回,"《侠女》之飞鸟投林，《空山灵雨》之惊禅盗盒，《喜怒哀乐》之飞星成阵，《龙门客栈》之枭曹飞渡，《大轮回》之三步一杀，《忠烈图》之白虹贯日。
电光影落斩春风，快若并剪胡一刀，截图只能空镜头，惊鸿一瞥截不住。文攻武卫，兔起鹘落，羚羊挂角，爽豁心目，天下武功，无招不催，剪辑之诀，唯快不破",2012-05-20,28.0,4
再会,木卫二,32,2020-06-04 21:41:45,大轮回,胡一世行云流水，一波三折；二三世狗尾续貂，落于俗套。,2012-07-01,8.0,4
再会,木卫二,32,2020-06-04 21:41:45,大轮回,敢不敢把这渣画质修复的好一点！！完全不能忍了！这三段短片都挺一般，胡金铨依旧迷恋东厂锦衣卫，与前作相比没什么大变化；李行的第二世狗血的一塌糊涂，各种琼瑶既视感；白景瑞第三世最有感触，迷信和现代观念的冲突体现的真好。石隽演反派挺赞的，鱼肠剑也真是凶器,2013-04-30,3.0,3
再会,木卫二,32,2020-06-04 21:41:45,大轮回,617siff八十年代物质现实复原术惊奇大赏，太有趣了！姜厚仁扮演的民国富二代说出“爱上你我执迷不悟”时，整个3号厅笑得前仰后合。除了胡金铨的那一世，其它两世的三角恋也没想象中那么鸳鸯蝴蝶小家子气，每个要死要活的爱情故事背后，都显映着黯淡懊丧的历史底色。这样看起来，那漂亮的男女主角“好似上辈子见过”的直觉和冲动，倒是电影在时代灰幕上着下的最艳丽动人的表情。,2019-06-17,2.0,4
再会,木卫二,32,2020-06-04 21:41:45,大轮回,#2019SIFF#No.4 三个轮回，三个时代，三个人纠缠不清的命运。锦衣卫像是赎罪般后两世都做了照顾另一人的家长，设定挺令人唏嘘的。不过实际观影时每一世小两口“认出”对方的时候都全场爆笑233再加上一些台式玛丽苏台词（第二世）真是笑到又鼓掌又排腿，观影氛围好得不要不要的。三世由三位导演来分工，感觉像看到三部片一样赚到了~~话说第三世那个传统法事真的被吓到了，往嘴上扎针，踩刀梯到血肉模糊………整体来说因为很少看类似的片子，83年的电影也挺前卫挺有新鲜感的，为笑声加一星~,2019-06-17,3.0,4
再会,木卫二,32,2020-06-04 21:41:45,大轮回,我不得不说我最讨厌的是老胡的第一段，李行和白景瑞拍潘金莲的前世今生也就算了，老胡竟然用[忠烈图]的调调在那里搞三角恋，不适。,2012-07-24,4.0,3
再会,木卫二,32,2020-06-04 21:41:45,大轮回,"除了胡金銓導的第一世夠水準外，後兩世拍得不行，尤其對男女主角""愛情""的描繪真是天雷滾滾，而且角色單薄，反而不及在三世皆擔任對立角色的石雋豐富。男女主角演員稚嫩的演技根本在映襯石雋，不過彭雪芬至少漂亮，演戲也還及格，但姜厚任就真的演技差，三世都演得一個樣.....",2012-08-10,4.0,1
